CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
ZUVIRIA;400;73.0;150000;2054.8;3;0;;;SI;;;;PARQUE CHACABUCO;7;-58.431963570253444;-34.629258901346574
GURRUCHAGA;200;73.0;150000;2054.8;4;0;;;;SI;SI;BALCON;VILLA CRESPO;15;-58.444888534705861;-34.599681249688182
BILLINGHURST;1600;146.0;300000;2054.8;4;60;;;;SI;SI;SI;RECOLETA;2;-58.411753552779722;-34.5921413348158
RIVADAVIA;2200;73.0;150000;2054.8;3;0;;;;2;;;BALVANERA;3;-58.397569322165879;-34.609718563547624
RIOBAMBA;1000;365.0;750000;2054.8;5;70;;SI;;4;SI;BALCON;RECOLETA;2;-58.394928792570795;-34.59728597011425
OLAGUER Y FELIU, VIRREY;3300;73.0;150000;2054.8;4;0;;;;;;;COLEGIALES;13;-58.458063834644406;-34.574895472368837
3 DE FEBRERO;900;128.0;263000;2054.7;4;10;;;SI;3;;;PALERMO;14;-58.441828564965498;-34.569973452300388
NAZARRE;5100;46.0;94500;2054.3;2;0;;;SI;;;;VILLA DEVOTO;11;-58.51667345343602;-34.616066919283476
CRAMER;3000;92.0;189000;2054.3;0;20;;;;2;;;NUÑEZ;13;-58.468186805006944;-34.556965758226781
SCALABRINI ORTIZ, RAUL;500;37.0;76000;2054.1;0;0;;;;SI;;;VILLA CRESPO;15;-58.436720065025774;-34.598397447125407
BLANCO ENCALADA;5600;37.0;76000;2054.1;2;0;;;;SI;SI;;VILLA URQUIZA;12;-58.491370589882578;-34.578327409628869
GARAY, JUAN DE;600;37.0;76000;2054.1;1;0;;;;;;BALCON TERRAZA;SAN TELMO;1;-58.373985414073111;-34.624571274216684
NAZCA;2700;37.0;76000;2054.1;2;0;;;;;;;VILLA DEL PARQUE;11;-58.48714550965353;-34.604891911920298
CAMPANA;3400;50.0;102700;2054.0;2;0;;;;2;SI;;VILLA DEL PARQUE;11;-58.498891025233263;-34.59943339329142
VERA;800;45.0;92429;2054.0;0;0;;;;SI;;;VILLA CRESPO;15;-58.440323245629791;-34.596444714018261
SANTA FE;2100;204.0;419000;2053.9;5;60;;;;3;SI;BALCON;RECOLETA;2;-58.397370727292348;-34.59569958286005
PUEYRREDON;1700;223.0;458000;2053.8;5;60;;;SI;2;SI;BALCON;RECOLETA;2;-58.401186108369934;-34.591519294092883
VIDAL;4600;56.0;115000;2053.6;0;0;;;;SI;;;SAAVEDRA;12;-58.476642920420993;-34.542458464510403
GALVAN;2900;56.0;115000;2053.6;2;0;;;;SI;;BALCON;VILLA URQUIZA;12;-58.486194463271318;-34.568566208216851
DIAZ VELEZ;5100;56.0;115000;2053.6;3;0;;;;;;;CABALLITO;6;-58.438675916247085;-34.608935848327697
BRANDSEN;1500;150.0;308000;2053.3;4;0;;;;2;;;BARRACAS;4;-58.372517340528745;-34.637781545869323
WASHINGTON;4000;45.0;92400;2053.3;2;0;;;;;;;SAAVEDRA;12;-58.483347963293014;-34.552462684389596
DIRECTORIO;3700;47.0;96500;2053.2;2;0;;;;;SI;BALCON;PARQUE AVELLANEDA;9;-58.475956009540774;-34.639034375785585
ALVAREZ, DONATO, Tte. Gral.;400;34.0;69800;2052.9;1;0;;;;;;;FLORES;7;-58.456216099886952;-34.621283201514039
PRINGLES;1000;55.0;112900;2052.7;2;0;;;SI;;;;ALMAGRO;5;-58.426918161860485;-34.600085441052826
CABILDO;3100;95.0;195000;2052.6;4;0;;;SI;;;;NUÑEZ;13;-58.464620579440563;-34.553626020339003
MILLER;3100;38.0;78000;2052.6;1;0;;;;SI;;;VILLA URQUIZA;12;-58.485625546899179;-34.566059130779436
