CALLE;NUMERO;M2;DOLARES;U_S_M2;PESOS;PESOS_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
ONCE DE SEPTIEMBRE DE 1888;700;584;1270000;2174.7;;0.0;5;20;FRENTE;SI;SI;;;TERRAZA;PALERMO;14;-58.43952256339881;-34.570694741619754
ONCE DE SEPTIEMBRE DE 1888;800;59;150000;2542.4;;0.0;3;40;CONTRAFRENTE;SI;;2;;BALCON;PALERMO;14;-58.440256121889142;-34.570315332473562
ONCE DE SEPTIEMBRE DE 1888;900;119;289000;2428.6;;0.0;4;0;FRENTE;SI;SI;;;;PALERMO;14;-58.441320686141552;-34.56948992392433
ONCE DE SEPTIEMBRE DE 1888;900;317;400000;1261.8;;0.0;4;37;FRENTE;SI;;2;SI;;PALERMO;14;-58.441320686141552;-34.56948992392433
ONCE DE SEPTIEMBRE DE 1888;900;350;880000;2514.3;;0.0;4;30;FRENTE;SI;;;;;PALERMO;14;-58.441320686141552;-34.56948992392433
ONCE DE SEPTIEMBRE DE 1888;900;362;470000;1298.3;;0.0;4;37;FRENTE;;SI;;SI;BALCON;PALERMO;14;-58.441320686141552;-34.56948992392433
ONCE DE SEPTIEMBRE DE 1888;1000;110;245000;2227.3;;0.0;4;48;;;;2;;;PALERMO;14;-58.442291977219689;-34.568729569174096
ONCE DE SEPTIEMBRE DE 1888;1000;168;535000;3184.5;;0.0;4;0;FRENTE;;SI;2;SI;BALCON;PALERMO;14;-58.442291977219689;-34.568729569174096
ONCE DE SEPTIEMBRE DE 1888;1200;210;645000;3071.4;;0.0;4;10;FRENTE;SI;SI;4;SI;BALCON;PALERMO;14;-58.443835256457071;-34.567533534761054
ONCE DE SEPTIEMBRE DE 1888;1300;214;990000;4626.2;;0.0;4;0;FRENTE;;;3;;;PALERMO;14;-58.444834061463894;-34.566379050997305
