CALLE;NUMERO;M2;DOLARES;U_S_M2;PISO;AMBIENTES;DORMITORIO;ANTIGUEDAD;A_ESTRENAR;FRENTE_Y_CONTRA;EDIFICACION;BAUL;COCHERA;BAÑO;LAVADERO;DEPENDENCIA;TERRAZA;OBS1;FUENTE;DIRECCION;NOMB_CA_CO;AV_SCORE;AV_SIDE;BARRIOS;COMUNA;AREA;ZONA;DIRECCION_NORMALIZADA;BARRIO_NORMALIZADO;COMUNA_NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
11 DE SEPTIEMBRE DE 1888;800;46;149500;3250; ;1;1; ; ; ; DUPLEX; ; ;1; ; ; ; ; ARGENPROP.COM/PALERMO;800 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14; ;2; 11 DE SEPTIEMBRE DE 1888 800;PALERMO;COMUNA 14;1426; C1426BK;-34.57029762577099;-58.4401221436521
11 DE SEPTIEMBRE DE 1888;900;350;880000;2514,3; ;4;3;30; ; FRENTE; TRIPLEX;SI;SI;5; S; ;TERRAZA; ; ZONAPROP/BELGRANO;900 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14; ;2; 11 DE SEPTIEMBRE DE 1888 900;PALERMO;COMUNA 14;1426; C1426BK;-34.5694723637527;-58.44118739625115
11 DE SEPTIEMBRE DE 1888;1100;200;545000;2726,2; ;5;4;38; ; FRENTE; ;SI;SI;2; S; S;TERRAZA; ; ZONAPROP/BELGRANO;1100 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14; ;2; 11 DE SEPTIEMBRE DE 1888 110;PALERMO;COMUNA 14;1426; C1426BK;-34.568094209708654;-58.442941261447174
11 DE SEPTIEMBRE DE 1888;1300;290;1100000;3793,1; ;4;3; ; ; ; ;SI;SI;3; S; S;TERRAZA; ; INMUEBLESCLARIN.COM/BELGRANO;1300 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14; ;2; 11 DE SEPTIEMBRE DE 1888 130;PALERMO;COMUNA 14;1426; C1426BK;-34.56645548189265;-58.4446350415852
11 DE SEPTIEMBRE DE 1888;1300;350;1490000;4257,1; ;5;4;22; ; FRENTE; ;SI;SI;5; S; S;TERRAZA; ; ZONAPROP/BELGRANO;1300 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14; ;2; 11 DE SEPTIEMBRE DE 1888 130;PALERMO;COMUNA 14;1426; C1426BK;-34.56645548189265;-58.4446350415852
11 DE SEPTIEMBRE DE 1888;1400;255;780000;3058,8; ;5;4;35; ; FRENTE; ;SI;SI;3; S; S;TERRAZA; ; ZONAPROP/BELGRANO;1400 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14; ;2; 11 DE SEPTIEMBRE DE 1888 140;PALERMO;COMUNA 14;1426; C1426BK;-34.56547271892276;-58.44547533173051
11 DE SEPTIEMBRE DE 1888;1600;200;1100000;5500; ;4;3;7; ; FRENTE; ;SI;SI;4; S; S;TERRAZA; ; ZONAPROP/BELGRANO;1600 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13; ;2; 11 DE SEPTIEMBRE DE 1888 160;BELGRANO;COMUNA 13;1426; C1426BK;-34.56357996119875;-58.447101128585466
11 DE SEPTIEMBRE DE 1888;1600;320;1150000;3593,8; ;5;5;50; ; FRENTE; ;SI; ;5; S; S;TERRAZA; ; ZONAPROP/BELGRANO;1600 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13; ;2; 11 DE SEPTIEMBRE DE 1888 160;BELGRANO;COMUNA 13;1426; C1426BK;-34.56357996119875;-58.447101128585466
11 DE SEPTIEMBRE DE 1888;1800;81;159000;1963; ;1;1; ;A ESTRENAR; FRENTE; ; ; ;1; S; ;TERRAZA; ; ZONAPROP/BELGRANO;1800 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13; ;2; 11 DE SEPTIEMBRE DE 1888 180;BELGRANO;COMUNA 13;1426; C1426BK;-34.561702086436256;-58.4487038193357
11 DE SEPTIEMBRE DE 1888;1800;299;815000;2725,8; ;5;4;45; ; FRENTE; ; ;SI;4; S; S;TERRAZA; ; ZONAPROP/BELGRANO;1800 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13; ;2; 11 DE SEPTIEMBRE DE 1888 180;BELGRANO;COMUNA 13;1426; C1426BK;-34.561702086436256;-58.4487038193357
11 DE SEPTIEMBRE DE 1888;1800;300;1070000;3566,7; ;5;4;30; ; FRENTE; ; ;SI;5; S; S;TERRAZA; ; ZONAPROP/BELGRANO;1800 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13; ;2; 11 DE SEPTIEMBRE DE 1888 180;BELGRANO;COMUNA 13;1426; C1426BK;-34.561702086436256;-58.4487038193357
11 DE SEPTIEMBRE DE 1888;2100;215;430000;2000; ;4;3; ; ; CONTRAFRENT; DUPLEX; ;SI;4; S; S;TERRAZA; ; ZONAPROP/BELGRANO;2100 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;37; ;BELGRANO;13; ;2; ; ; ; ; ;;
11 DE SEPTIEMBRE DE 1888;2600;110;246000;2236,4; ;3;2; ; ; FRENTE; ; ;SI;2; ; ;TERRAZA; ; ZONAPROP/BELGRANO;2600 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13; ;2; 11 DE SEPTIEMBRE DE 1888 260;BELGRANO;COMUNA 13;1428; C1428AJ;-34.55422446215729;-58.454999797116656
11 DE SEPTIEMBRE DE 1888;2700;67;123000;1835,8; ;1;1; ;A ESTRENAR; CONTRAFRENT; ;SI; ;1; S; ;TERRAZA; ; ZONAPROP/BELGRANO;2700 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13; ;2; 11 DE SEPTIEMBRE DE 1888 270;BELGRANO;COMUNA 13;1428; C1428AJ;-34.553327981545834;-58.45576276499601
11 DE SEPTIEMBRE DE 1888;3900;76;300000;3947,4; ;3;2;9; ; FRENTE; ; ;SI;2; S; ;TERRAZA; ; BUSCAINMUEBLE/NUÃ‘EZ;3900 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13; ;2; 11 DE SEPTIEMBRE DE 1888 390;NUÑEZ;COMUNA 13;1429; C1429BI;-34.54336883292179;-58.46310981785363
11 DE SEPTIEMBRE DE 1888;4000;40;106000;2650;5;1;1; ; ; FRENTE; ; ; ;1; ; ;TERRAZA; ; BUSCAINMUEBLE/NUÃ‘EZ;4000 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13; ;2; 11 DE SEPTIEMBRE DE 1888 400;NUÑEZ;COMUNA 13;1429; C1429BI;-34.54272435202792;-58.46358683139074
11 DE SEPTIEMBRE DE 1888;4000;43;145000;3372,1;9;2;1; ; ; FRENTE; ; ; ;1; ; ;TERRAZA; ; BUSCAINMUEBLE/NUÃ‘EZ;4000 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13; ;2; 11 DE SEPTIEMBRE DE 1888 400;NUÑEZ;COMUNA 13;1429; C1429BI;-34.54272435202792;-58.46358683139074
11 DE SEPTIEMBRE DE 1888;4000;47;169000;3595,7;12;2;1; ;A ESTRENAR; FRENTE; ; ; ;1; ; ;TERRAZA; ; BUSCAINMUEBLE/NUÃ‘EZ;4000 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13; ;2; 11 DE SEPTIEMBRE DE 1888 400;NUÑEZ;COMUNA 13;1429; C1429BI;-34.54272435202792;-58.46358683139074
11 DE SEPTIEMBRE DE 1888;4000;77;380000;4935,1;13;3;2; ; ; FRENTE; TRIPLEX; ; ;2; S; ;TERRAZA; ; BUSCAINMUEBLE/NUÃ‘EZ;4000 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13; ;2; 11 DE SEPTIEMBRE DE 1888 400;NUÑEZ;COMUNA 13;1429; C1429BI;-34.54272435202792;-58.46358683139074
11 DE SEPTIEMBRE DE 1888;4000;110;395000;3590,9; ;4;3;3; ; FRENTE; TRIPLEX; ;SI;2; ; ;TERRAZA; ; BUSCAINMUEBLE/NUÃ‘EZ;4000 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13; ;2; 11 DE SEPTIEMBRE DE 1888 400;NUÑEZ;COMUNA 13;1429; C1429BI;-34.54272435202792;-58.46358683139074
11 DE SEPTIEMBRE DE 1888;4200;50;155000;3100; ;2;1; ;A ESTRENAR; FRENTE; ; ;SI;0; ; ; ; ; BUSCAINMUEBLE/NUÃ‘EZ;4200 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13; ;2; 11 DE SEPTIEMBRE DE 1888 420;NUÑEZ;COMUNA 13;1429; C1429BJ;-34.54123991967698;-58.46468430687197
11 DE SEPTIEMBRE DE 1888;4200;100;295000;2950; ;3;2;3; ; FRENTE; ; ;SI;2; S; ;TERRAZA; ; ZONAPROP/NUÃ‘EZ;4200 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13; ;2; 11 DE SEPTIEMBRE DE 1888 420;NUÑEZ;COMUNA 13;1429; C1429BJ;-34.54123991967698;-58.46468430687197
11 DE SEPTIEMBRE DE 1888;4400;97;220000;2268;8;5;4;35; ; FRENTE; ; ;SI;2; ; ;TERRAZA; ; BUSCAINMUEBLE/NUÃ‘EZ;4400 11 DE SEPTIEMBRE DE 1888; 11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13; ;2; 11 DE SEPTIEMBRE DE 1888 440;NUÑEZ;COMUNA 13;1429; C1429BJ;-34.53967955061327;-58.46583803827485
14 DE JULIO;800;40;97000;2425; ;2;1;8; ; FRENTE; ; ; ;0; ; ;TERRAZA; ; ZONAPROP.COM_VILLA ORTUZAR;800 14 DE JULIO; 14 DE JULIO;100;L;VILLA ORTUZAR;15; ;3; 14 DE JULIO 800;VILLA ORTUZAR;COMUNA 15;1427; C1427CJ;-34.584089722923046;-58.46205574447262
14 DE JULIO;1300;61;140000;2295,1; ;4;3;40; ; LATERAL; ; ;SI;0; S; ; ; ; ZONAPROP.COM_VILLA ORTUZAR;1300 14 DE JULIO; 14 DE JULIO;100;L;VILLA ORTUZAR;15; ;3; 14 DE JULIO 1300;VILLA ORTUZAR;COMUNA 15;1427; C1427CJ;-34.57836634612398;-58.46181103896571
14 DE JULIO;1400;180;235000;1305,6; ;4;3; ; ; FRENTE; ; ; ;3; S; S;TERRAZA; ; ZONAPROP.COM_VILLA ORTUZAR;1400 14 DE JULIO; 14 DE JULIO;100;L;VILLA ORTUZAR;15; ;3; 14 DE JULIO 1400;VILLA ORTUZAR;COMUNA 15;1427; C1427CK;-34.57665096069627;-58.46326146456419
15 DE NOVIEMBRE DE 1889;1700;94;165000;1755,3; ;4;3;12; ; FRENTE; ;SI;SI;2; S; S;BALCON; ; ZONAPROP.COM_PARQUE PATRICIOS;1700 15 DE NOVIEMBRE DE 1889; 15 DE NOVIEMBRE DE 1889;100;L;CONSTITUCION;1; ;4; 15 DE NOVIEMBRE DE 1889 1700;CONSTITUCION;COMUNA 1;1130; C1130AB;-34.63144946962681;-58.38891932464926
2 DE ABRIL DE 1982;6700;70;45000;642,9; ;4;3;35; ; ; ; ; ;1; S; ;PATIO; ; ARGENPROP.COM/VILLALUGANO;6700 2 DE ABRIL DE 1982; 2 DE ABRIL DE 1982;100;L;VILLA LUGANO;8; ;4; 2 DE ABRIL DE 1982 6700;VILLA LUGANO;COMUNA 8;1439; C1439HW;-34.67807770718123;-58.49113736145777
24 DE NOVIEMBRE;100;38;56000;1473,7;7;0;0;60; ; CONTRAFRENT; ; ; ;1; ; ; ; ; ARGENPROP.COM/ALMAGRO;100 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 100;BALVANERA;COMUNA 3;1170; C1170AA;-34.61161021658546;-58.41165174437202
24 DE NOVIEMBRE;100;42;68000;1619;2;2;1;60; ; FRENTE; POR ESCALER; ; ;1; S; ;BALCON; ; ARGENPROP.COM/BALVANERA;100 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 100;BALVANERA;COMUNA 3;1170; C1170AA;-34.61161021658546;-58.41165174437202
24 DE NOVIEMBRE;100;62;87000;1403,2; ;2;2;90; ; ; ; ; ;2; S; S; ; ; ARGENPROP.COM/BALVANERA;100 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 100;BALVANERA;COMUNA 3;1170; C1170AA;-34.61161021658546;-58.41165174437202
24 DE NOVIEMBRE;200;79;135000;1708,9;13;4;3;40; ; FRENTE; ; ;SI;0; S; ;BALCON; ; INMUEBLESCLARIN.COM/BALVANERA;200 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 200;BALVANERA;COMUNA 3;1170; C1170AA;-34.61293584674623;-58.41143953303377
24 DE NOVIEMBRE;200;80;120000;1500;4;3;3;45; ; CONTRAFRENT; ; ;SI;1; S; ;BALCON; ; ARGENPROP.COM/BALVANERA;200 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 200;BALVANERA;COMUNA 3;1170; C1170AA;-34.61293584674623;-58.41143953303377
24 DE NOVIEMBRE;200;83;105000;1265,1;PB;3;3;35; ; FRENTE; ; ; ;1; S; ;BALCON; ; ARGENPROP.COM/ALMAGRO;200 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 200;BALVANERA;COMUNA 3;1170; C1170AA;-34.61293584674623;-58.41143953303377
24 DE NOVIEMBRE;200;90;135000;1500;1;5;4;40; ; CONTRAFRENT; ; ; ;2; ; ; ; ; BUSCAINMUEBLE/ONCE;200 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 200;BALVANERA;COMUNA 3;1170; C1170AA;-34.61293584674623;-58.41143953303377
24 DE NOVIEMBRE;400;27;60000;2222,2; ;1;1; ;A ESTRENAR; ; ; ; ;1; ; ; ; ; ARGENPROP.COM/BALVANERA;400 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 400;BALVANERA;COMUNA 3;1170; C1170AA;-34.615241457902385;-58.41111544884485
24 DE NOVIEMBRE;400;35;110000;3142,9;5;2;1; ;A ESTRENAR; FRENTE; ; ; ;1; ; ; ; ; BUSCAINMUEBLE/ABASTO;400 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 400;BALVANERA;COMUNA 3;1170; C1170AA;-34.615241457902385;-58.41111544884485
24 DE NOVIEMBRE;400;52;97000;1865,4; ;2;1; ;A ESTRENAR; CONTRAFRENT; ; ; ;0; ; ; ; ; ZONAPROP.COM_SAN CRISTOBAL;400 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 400;BALVANERA;COMUNA 3;1170; C1170AA;-34.615241457902385;-58.41111544884485
