X;Y;STOP_ID;TIPO;CALLE;NUMERO;ENTRE1;ENTRE2;LINEAS;DIR_NORM;CALLE_NORM;ALTURA_NOR;COORDX;COORDY;METROBUS;STOP_NAME;STOP_DESC;FUENTE;VERIFICADA;FECHA_ULTI
-58,4327908137487;-34,5923809470;1000086;PARADAS CON REFUGIO;CORDOBA AV.;4859;ARMENIA;GURRUCHAGA;{151,168};CORDOBA AV. 4859;CORDOBA AV.;4859;102.798.829.931.999.000.000;104.091.825.983.000.000.000;F;;;RELEVAMIENTO2015;T;9/4/2015
-58,5140298647844;-34,6016371880;1005465;PARADA NO OFICIAL;NUEVA YORK;4224;;GUALEGUAYCHU;{105};NUEVA YORK 4224;NUEVA YORK;4224;95.346.600.539.799.900.000;103.064.210.534.000.000.000;F;;;RELEVAMIENTO2015;T;17/4/2015
-58,4497660921390;-34,5544664433;1002096;PARADAS CON REFUGIO;DEL LIBERTADOR AV.;6250;BLANCO ENCALADA;OLAZABAL;{15,29};DEL LIBERTADOR AV. 6250;DEL LIBERTADOR AV.;6250;101.242.081.519.000.000.000;108.298.117.206.000.000.000;F;;;RELEVAMIENTO2015;T;10/4/2015
-58,4941044948861;-34,5623407465;1006607;PARADAS CON REFUGIO;LARRALDE, CRISOLOGO AV.;5187;;;{110,71};LARRALDE, CRISOLOGO AV. 5187;LARRALDE, CRISOLOGO AV.;5187;97.172.965.995.399.900.000;107.424.229.065.000.000.000;F;;;RELEVAMIENTO2015;T;14/4/2015
-58,4844741311517;-34,5757583663;1004767;PARADAS DE POSTE;OLAZABAL AV.;4920;;TRIUNVIRATO AV.;{90};OLAZABAL AV. 4920;OLAZABAL AV.;4920;98.057.080.321.899.900.000;105.936.009.144.000.000.000;F;;;RELEVAMIENTO2015;T;14/4/2015
-58,4704901742478;-34,5782878869;1003500;PARADAS DE POSTE;ALVAREZ THOMAS AV.;2091;;;{112};ALVAREZ THOMAS AV. 2091;ALVAREZ THOMAS AV.;2091;99.340.225.158.899.900.000;105.655.590.137.000.000.000;F;;;RELEVAMIENTO2015;T;20/4/2015
-58,3807347395108;-34,6013117395;1001215;PARADAS DE POSTE;TUCUMAN;987;SUIPACHA;PELLEGRINI, CARLOS;{23,6};TUCUMAN 987;TUCUMAN;987;107.573.574.001.999.000.000;103.098.457.345.000.000.000;F;;;RELEVAMIENTO2015;T;16/4/2015
-58,4504349445881;-34,6062415444;1003957;PARADA NO OFICIAL;VIALE, LUIS;759;;;{24};VIALE, LUIS 759;VIALE, LUIS;759;101.179.996.289.000.000.000;102.554.563.303.000.000.000;F;;;RELEVAMIENTO2015;T;17/4/2015
-58,5245069558601;-34,6228713798;1004561;PARADAS CON REFUGIO;NAZARRE;5895;NAZARRE;;{109};NAZARRE 5895;NAZARRE;5895;94.386.997.392.499.900.000;100.708.088.663.000.000.000;F;;;RELEVAMIENTO2015;T;13/4/2015
-58,4178717614859;-34,6326129854;1001497;PARADAS CON REFUGIO;CASTRO BARROS;1681;GARAY, JUAN DE AV.;INCLAN;{160};CASTRO BARROS 1681;CASTRO BARROS;1681;104.165.498.510.000.000.000;99.628.238.944.299.900.000;F;;;RELEVAMIENTO2015;T;17/4/2015
